
=| GET query1 |=
2014-07-13 03:39:52 | select * from `student` where `studentid` = ? limit 1 | 1ms
2014-07-13 03:39:52 | select `question`.*, `studentresponse`.`studentid` as `pivot_studentid`, `studentresponse`.`studentresponseid` as `pivot_studentresponseid`, `studentresponse`.`response` as `pivot_response`, `studentresponse`.`markedans` as `pivot_markedans` from `question` inner join `studentresponse` on `question`.`questionid` = `studentresponse`.`studentid` where `studentresponse`.`studentid` in (?) | 2ms

=| GET query1 |=
2014-07-13 03:41:22 | select * from `student` where `studentid` = ? limit 1 | 1ms
2014-07-13 03:41:22 | select `question`.*, `studentresponse`.`studentid` as `pivot_studentid`, `studentresponse`.`studentresponseid` as `pivot_studentresponseid`, `studentresponse`.`response` as `pivot_response`, `studentresponse`.`markedans` as `pivot_markedans` from `question` inner join `studentresponse` on `question`.`questionid` = `studentresponse`.`studentid` where `studentresponse`.`studentid` in (?) | 2ms

=| GET query1 |=
2014-07-13 03:41:46 | select * from `student` where `studentid` = ? limit 1 | 1ms
2014-07-13 03:41:46 | select `question`.*, `studentresponse`.`studentid` as `pivot_studentid`, `studentresponse`.`questionid` as `pivot_questionid`, `studentresponse`.`studentresponseid` as `pivot_studentresponseid`, `studentresponse`.`response` as `pivot_response`, `studentresponse`.`markedans` as `pivot_markedans` from `question` inner join `studentresponse` on `question`.`questionid` = `studentresponse`.`questionid` where `studentresponse`.`studentid` in (?) | 21ms

=| GET query1 |=
2014-07-13 03:42:28 | select * from `student` where `studentid` = ? limit 1 | 1ms
2014-07-13 03:42:29 | select `question`.*, `studentresponse`.`studentid` as `pivot_studentid`, `studentresponse`.`questionid` as `pivot_questionid`, `studentresponse`.`studentresponseid` as `pivot_studentresponseid`, `studentresponse`.`response` as `pivot_response`, `studentresponse`.`markedans` as `pivot_markedans` from `question` inner join `studentresponse` on `question`.`questionid` = `studentresponse`.`questionid` where `studentresponse`.`studentid` in (?) | 24ms

=| GET log |=

=| GET query1 |=
2014-07-13 03:43:34 | select * from `student` where `studentid` = ? limit 1 | 1ms
2014-07-13 03:43:34 | select `question`.*, `studentresponse`.`studentid` as `pivot_studentid`, `studentresponse`.`questionid` as `pivot_questionid`, `studentresponse`.`studentresponseid` as `pivot_studentresponseid`, `studentresponse`.`response` as `pivot_response`, `studentresponse`.`markedans` as `pivot_markedans` from `question` inner join `studentresponse` on `question`.`questionid` = `studentresponse`.`questionid` where `studentresponse`.`studentid` in (?) | 27ms

=| GET query1 |=
2014-07-13 03:51:06 | select * from `student` where `studentid` = ? limit 1 | 1ms
2014-07-13 03:51:06 | select `question`.*, `studentresponse`.`studentid` as `pivot_studentid`, `studentresponse`.`questionid` as `pivot_questionid`, `studentresponse`.`studentresponseid` as `pivot_studentresponseid`, `studentresponse`.`response` as `pivot_response`, `studentresponse`.`markedans` as `pivot_markedans` from `question` inner join `studentresponse` on `question`.`questionid` = `studentresponse`.`questionid` where `studentresponse`.`studentid` in (?) | 17ms

=| GET query1 |=

=| GET query1 |=
2014-07-13 03:53:24 | select * from `student` where `studentid` = ? limit 1 | 2ms

=| GET query1 |=
2014-07-13 03:54:23 | select * from `student` where `studentid` = ? limit 1 | 1ms
2014-07-13 03:54:23 | select `question`.*, `studentresponse`.`studentid` as `pivot_studentid`, `studentresponse`.`questionid` as `pivot_questionid`, `studentresponse`.`studentresponseid` as `pivot_studentresponseid`, `studentresponse`.`response` as `pivot_response`, `studentresponse`.`markedans` as `pivot_markedans` from `question` inner join `studentresponse` on `question`.`questionid` = `studentresponse`.`questionid` where `studentresponse`.`studentid` in (?) and `question`.`questionid` = ? | 48ms

=| GET query1 |=
2014-07-13 03:55:14 | select * from `student` where `studentid` = ? limit 1 | 1ms
2014-07-13 03:55:14 | select `question`.*, `studentresponse`.`studentid` as `pivot_studentid`, `studentresponse`.`questionid` as `pivot_questionid`, `studentresponse`.`studentresponseid` as `pivot_studentresponseid`, `studentresponse`.`response` as `pivot_response`, `studentresponse`.`markedans` as `pivot_markedans` from `question` inner join `studentresponse` on `question`.`questionid` = `studentresponse`.`questionid` where `studentresponse`.`studentid` in (?) and `question`.`questionid` = ? | 2ms

=| GET query1 |=
2014-07-13 03:55:33 | select * from `student` where `studentid` = ? limit 1 | 1ms
2014-07-13 03:55:33 | select `question`.*, `studentresponse`.`studentid` as `pivot_studentid`, `studentresponse`.`questionid` as `pivot_questionid`, `studentresponse`.`studentresponseid` as `pivot_studentresponseid`, `studentresponse`.`response` as `pivot_response`, `studentresponse`.`markedans` as `pivot_markedans` from `question` inner join `studentresponse` on `question`.`questionid` = `studentresponse`.`questionid` where `studentresponse`.`studentid` in (?) and `question`.`subjectid` = ? | 12ms

=| GET query1 |=
2014-07-13 03:55:45 | select count(*) as aggregate from `student` where `studentid` = ? | 0ms

=| GET query1 |=
2014-07-13 03:55:52 | select count(*) as aggregate from `student` where `studentid` = ? | 1ms

=| GET query1 |=

=| GET query1 |=

=| GET query1 |=

=| GET query2 |=
2014-07-13 04:18:43 | select * from `question` | 37ms

=| GET query2 |=
2014-07-13 04:18:55 | select * from `question` | 37ms
2014-07-13 04:18:55 | select `student`.*, `StudentResponse`.`questionid` as `pivot_questionid`, `StudentResponse`.`studentid` as `pivot_studentid`, `StudentResponse`.`studentresponseid` as `pivot_studentresponseid`, `StudentResponse`.`response` as `pivot_response`, `StudentResponse`.`markedans` as `pivot_markedans` from `student` inner join `StudentResponse` on `student`.`studentid` = `StudentResponse`.`studentid` where `StudentResponse`.`questionid` in (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?) and `student`.`studentid` = ? | 15ms

=| GET query2 |=

=| GET query2 |=

=| GET query2 |=

=| GET query2 |=

=| GET query2 |=

=| GET query2 |=

=| GET query2 |=
2014-07-13 06:50:05 | select * from `question` | 38ms

=| GET query2 |=

=| GET query2 |=

=| GET query2 |=
2014-07-13 06:52:38 | select * from `question` | 36ms
